Match_ID,Date,Venue,Team_A,Team_B,Stage,Team_A_Ranking,Team_B_Ranking,Team_A_Form,Team_B_Form,HeadToHead_A_Wins,HeadToHead_B_Wins,Venue_HomeAdvantage_A,Venue_HomeAdvantage_B,Pitch_Type,Avg_T20_Score_Venue,Toss_Winner,Toss_Decision,Team_A_Tech_Index,Team_B_Tech_Index,Match_Total,Winner,Team_A_encoded,Team_B_encoded,Venue_encoded,Stage_encoded,Pitch_Type_encoded,Toss_Winner_encoded,Toss_Decision_encoded,Toss_Winner_Binary,Toss_Decision_Binary,Winner_Binary
M0001,3/6/2026,Chennai,New Zealand,Scotland,Super8,5,13,76.97,54.62,6,4,0,0,Spin-Friendly,155,Team_A,Field,251.27,156.37,168,Team_A,10,14,1,3,2,0,1,1,1,1
M0002,3/7/2026,Mumbai,South Africa,Sri Lanka,Final,6,9,64.19,58.75,13,6,0,0,Flat,175,Team_B,Bat,249.33,187.44,150,Team_A,15,16,6,0,0,1,0,0,0,1
M0003,3/2/2026,Kolkata,India,PNG,Group,1,20,69.87,45.14,13,0,1,0,Spin-Friendly,165,Team_B,Field,298.24,54.03,160,Team_A,5,12,5,1,2,1,1,0,1,1
M0004,2/22/2026,Colombo,Netherlands,Ireland,Group,11,12,85.59,61.94,10,4,0,0,Spin-Friendly,160,Team_A,Bat,197.19,174.95,145,Team_A,9,6,2,1,2,0,0,1,0,1
M0005,2/28/2026,Mumbai,Namibia,South Africa,Group,15,6,45.98,88.52,3,15,0,0,Flat,175,Team_B,Bat,124.91,271.68,185,Team_B,7,15,6,1,0,1,0,0,0,0
M0006,2/24/2026,Colombo,Afghanistan,USA,Group,8,17,53.35,58.92,7,3,0,0,Spin-Friendly,160,Team_B,Field,204.72,117.29,163,Team_A,0,17,2,1,2,1,1,0,1,1
M0007,3/2/2026,Ahmedabad,USA,Nepal,Group,17,19,46.84,40.99,4,2,0,0,Flat,180,Team_B,Bat,115.43,76.68,153,Team_A,17,8,0,1,0,1,0,0,0,1
M0008,2/13/2026,Kolkata,Oman,South Africa,Group,16,6,38.69,71.34,2,4,0,0,Spin-Friendly,165,Team_B,Bat,101.28,248.24,192,Team_B,11,15,5,1,2,1,0,0,0,0
M0009,2/16/2026,Delhi,Canada,Ireland,Group,18,12,37.61,54.91,2,1,0,0,Pace-Friendly,170,Team_A,Bat,77.14,179.31,166,Team_B,3,6,3,1,1,0,0,1,0,0
M0010,2/24/2026,Colombo,Pakistan,South Africa,Group,4,6,85.8,61.02,2,2,0,0,Spin-Friendly,160,Team_B,Bat,284.02,241.05,150,Team_A,13,15,2,1,2,1,0,0,0,1
M0011,2/27/2026,Kolkata,Netherlands,PNG,Group,11,20,63.61,57.38,18,9,0,0,Spin-Friendly,165,Team_B,Bat,211.39,76.02,157,Team_A,9,12,5,1,2,1,0,0,0,1
M0012,2/21/2026,Chennai,India,Netherlands,Group,1,11,65.81,70.42,8,2,1,0,Spin-Friendly,155,Team_A,Field,298.06,194.08,155,Team_A,5,9,1,1,2,0,1,1,1,1
M0013,3/5/2026,Ahmedabad,Ireland,West Indies,Super8,12,7,49.92,62.98,2,0,0,0,Flat,180,Team_B,Bat,169.53,243.85,194,Team_B,6,18,0,3,0,1,0,0,0,0
M0014,2/11/2026,Kolkata,Nepal,Canada,Group,19,18,57.72,47.76,15,10,0,0,Spin-Friendly,165,Team_B,Bat,92.1,91.53,131,Team_A,8,3,5,1,2,1,0,0,0,1
M0015,2/26/2026,Chennai,Canada,Bangladesh,Group,18,10,48.96,64.61,1,18,0,0,Spin-Friendly,155,Team_A,Field,74.12,206.97,137,Team_B,3,2,1,1,2,0,1,1,1,0
M0016,3/6/2026,Mumbai,Sri Lanka,England,Group,9,3,68.53,74.34,5,13,0,0,Flat,175,Team_B,Bat,227.62,288.54,182,Team_B,16,4,6,1,0,1,0,0,0,0
M0017,2/10/2026,Colombo,Canada,Zimbabwe,Group,18,14,26.81,53.73,10,20,0,0,Spin-Friendly,160,Team_A,Field,74.03,139.87,144,Team_B,3,19,2,1,2,0,1,1,1,0
M0018,2/12/2026,Kolkata,New Zealand,Oman,Group,5,16,76.78,47.41,14,3,0,0,Spin-Friendly,165,Team_A,Bat,259.7,106.06,190,Team_A,10,11,5,1,2,0,0,1,0,1
M0019,2/16/2026,Chennai,USA,West Indies,Super8,17,7,55.91,58.91,0,1,0,0,Spin-Friendly,155,Team_A,Bat,123.95,234.84,143,Team_B,17,18,1,3,2,0,0,1,0,0
M0020,2/28/2026,Ahmedabad,PNG,Oman,Group,20,16,37.07,59.23,2,5,0,0,Flat,180,Team_B,Field,68.66,127.2,162,Team_B,12,11,0,1,0,1,1,0,1,0
M0021,2/20/2026,Kolkata,Netherlands,South Africa,Final,11,6,49.38,74.74,2,1,0,0,Spin-Friendly,165,Team_A,Field,175.14,245.45,136,Team_B,9,15,5,0,2,0,1,1,1,0
M0022,2/8/2026,Ahmedabad,Oman,Sri Lanka,Group,16,9,46.43,69.56,2,3,0,0,Flat,180,Team_B,Bat,120.25,224.02,170,Team_B,11,16,0,1,0,1,0,0,0,0
M0023,2/10/2026,Chennai,Namibia,Pakistan,Group,15,4,54.6,81.82,2,12,0,0,Spin-Friendly,155,Team_B,Field,143.79,273.68,176,Team_B,7,13,1,1,2,1,1,0,1,0
M0024,2/21/2026,Chennai,Nepal,Zimbabwe,Group,19,14,46.26,62.47,0,2,0,0,Spin-Friendly,155,Team_A,Field,88.61,146.36,177,Team_B,8,19,1,1,2,0,1,1,1,0
M0025,2/9/2026,Ahmedabad,Scotland,India,Group,13,1,44.09,86.57,2,5,0,1,Flat,180,Team_A,Field,143.28,308.72,212,Team_B,14,5,0,1,0,0,1,1,1,0
M0026,3/3/2026,Ahmedabad,Australia,Scotland,Group,2,13,82.24,65.41,18,6,0,0,Flat,180,Team_A,Bat,304.28,164.58,160,Team_A,1,14,0,1,0,0,0,1,0,1
M0027,2/25/2026,Kolkata,Zimbabwe,New Zealand,SemiFinal,14,5,53.23,75.41,6,7,0,0,Spin-Friendly,165,Team_B,Field,152.5,262.92,191,Team_B,19,10,5,2,2,1,1,0,1,0
M0028,2/28/2026,Mumbai,England,Scotland,Group,3,13,61.94,55.65,2,1,0,0,Flat,175,Team_A,Bat,266.17,164.71,191,Team_A,4,14,6,1,0,0,0,1,0,1
M0029,3/5/2026,Chennai,Australia,Bangladesh,Group,2,10,82.73,61.27,13,11,0,0,Spin-Friendly,155,Team_A,Field,293.11,207.09,153,Team_A,1,2,1,1,2,0,1,1,1,1
M0030,2/19/2026,Kandy,India,Namibia,Group,1,15,70.74,46.87,23,4,0,0,Pace-Friendly,162,Team_A,Field,303.32,133.15,154,Team_A,5,7,4,1,1,0,1,1,1,1
M0031,2/23/2026,Kolkata,Zimbabwe,PNG,Group,14,20,54.58,30.57,5,6,0,0,Spin-Friendly,165,Team_B,Field,151.16,65.1,170,Team_A,19,12,5,1,2,1,1,0,1,1
M0032,2/11/2026,Delhi,India,Australia,Group,1,2,89.05,71.96,13,16,1,0,Pace-Friendly,170,Team_B,Bat,324.37,326.78,203,Team_B,5,1,3,1,1,1,0,0,0,0
M0033,2/26/2026,Colombo,Pakistan,Oman,Group,4,16,83.54,56.51,18,7,0,0,Spin-Friendly,160,Team_A,Field,273.12,112.51,138,Team_A,13,11,2,1,2,0,1,1,1,1
M0034,2/9/2026,Chennai,Pakistan,Canada,Group,4,18,73.6,40.65,6,1,0,0,Spin-Friendly,155,Team_A,Field,277.89,74.15,160,Team_A,13,3,1,1,2,0,1,1,1,1
M0035,3/8/2026,Chennai,Nepal,West Indies,Group,19,7,44.64,57.22,6,16,0,0,Spin-Friendly,155,Team_B,Field,89.04,211.86,208,Team_B,8,18,1,1,2,1,1,0,1,0
M0036,2/14/2026,Chennai,Sri Lanka,West Indies,Group,9,7,77.63,76.29,10,4,0,0,Spin-Friendly,155,Team_A,Bat,212.63,242.58,160,Team_B,16,18,1,1,2,0,0,1,0,0
M0037,3/6/2026,Kolkata,Scotland,Afghanistan,Group,13,8,48.07,64.85,0,2,0,0,Spin-Friendly,165,Team_B,Field,141.1,240.14,147,Team_B,14,0,5,1,2,1,1,0,1,0
M0038,2/23/2026,Kandy,Australia,Canada,Group,2,18,81.18,29.88,7,1,0,0,Pace-Friendly,162,Team_A,Bat,295.09,88.82,212,Team_A,1,3,4,1,1,0,0,1,0,1
M0039,2/22/2026,Colombo,South Africa,Australia,Group,6,2,54.81,73.16,10,17,0,0,Spin-Friendly,160,Team_A,Field,224.91,302.13,134,Team_B,15,1,2,1,2,0,1,1,1,0
M0040,2/24/2026,Kandy,Oman,USA,Group,16,17,37.05,46.95,7,5,0,0,Pace-Friendly,162,Team_B,Field,122.11,97.91,159,Team_B,11,17,4,1,1,1,1,0,1,0
M0041,2/25/2026,Kolkata,Canada,Oman,Group,18,16,60.41,35.64,5,7,0,0,Spin-Friendly,165,Team_A,Field,110.05,110.92,155,Team_A,3,11,5,1,2,0,1,1,1,1
M0042,3/1/2026,Chennai,India,Sri Lanka,Group,1,9,86.47,65.26,20,9,1,0,Spin-Friendly,155,Team_B,Bat,333.16,206.56,143,Team_A,5,16,1,1,2,1,0,0,0,1
M0043,2/22/2026,Kolkata,Zimbabwe,Ireland,Group,14,12,52.48,63.88,18,12,0,0,Spin-Friendly,165,Team_A,Bat,138.19,175.54,165,Team_B,19,6,5,1,2,0,0,1,0,0
M0044,3/6/2026,Ahmedabad,Pakistan,Afghanistan,Group,4,8,67.78,62.45,15,12,0,0,Flat,180,Team_B,Bat,276.97,214.9,207,Team_B,13,0,0,1,0,1,0,0,0,0
M0045,2/20/2026,Kolkata,South Africa,Scotland,Group,6,13,61.71,50.4,17,10,0,0,Spin-Friendly,165,Team_A,Bat,219.41,139.83,175,Team_A,15,14,5,1,2,0,0,1,0,1
M0046,3/1/2026,Delhi,New Zealand,West Indies,Group,5,7,87.53,63.6,5,7,0,0,Pace-Friendly,170,Team_A,Field,289.97,235.37,172,Team_B,10,18,3,1,1,0,1,1,1,0
M0047,2/17/2026,Chennai,PNG,USA,Group,20,17,45.24,46.7,12,8,0,0,Spin-Friendly,155,Team_B,Field,86.54,112.02,117,Team_A,12,17,1,1,2,1,1,0,1,1
M0048,2/28/2026,Colombo,Namibia,Canada,Group,15,18,64.05,34.03,15,14,0,0,Spin-Friendly,160,Team_B,Field,147.84,85.46,135,Team_A,7,3,2,1,2,1,1,0,1,1
M0049,3/3/2026,Ahmedabad,Netherlands,Namibia,Group,11,15,60.76,45.23,12,8,0,0,Flat,180,Team_A,Bat,184.29,134.86,217,Team_A,9,7,0,1,0,0,0,1,0,1
M0050,2/17/2026,Ahmedabad,USA,Scotland,Group,17,13,43.67,58.04,12,13,0,0,Flat,180,Team_A,Bat,102.3,165.09,143,Team_B,17,14,0,1,0,0,0,1,0,0
M0051,2/20/2026,Delhi,India,South Africa,Group,1,6,72.82,67.87,10,8,1,0,Pace-Friendly,170,Team_A,Bat,287.72,263.63,172,Team_A,5,15,3,1,1,0,0,1,0,1
M0052,2/28/2026,Delhi,Zimbabwe,India,Group,14,1,47.18,79.52,0,7,0,1,Pace-Friendly,170,Team_B,Field,143.76,304.1,203,Team_B,19,5,3,1,1,1,1,0,1,0
M0053,2/21/2026,Mumbai,England,Ireland,Group,3,12,74.91,62.02,7,1,0,0,Flat,175,Team_A,Field,284.97,181.28,193,Team_A,4,6,6,1,0,0,1,1,1,1
M0054,2/12/2026,Delhi,Sri Lanka,PNG,Group,9,20,68.74,42.54,2,0,0,0,Pace-Friendly,170,Team_B,Field,224.35,81.02,182,Team_B,16,12,3,1,1,1,1,0,1,0
M0055,3/1/2026,Chennai,Australia,Afghanistan,Group,2,8,86.72,67.83,7,1,0,0,Spin-Friendly,155,Team_B,Field,299.84,237.64,143,Team_A,1,0,1,1,2,1,1,0,1,1
M0056,2/10/2026,Chennai,Nepal,PNG,Group,19,20,42.42,28.45,4,3,0,0,Spin-Friendly,155,Team_B,Field,76.35,55.65,184,Team_A,8,12,1,1,2,1,1,0,1,1
M0057,2/7/2026,Mumbai,PNG,Australia,Group,20,2,51.5,72.23,2,24,0,0,Flat,175,Team_B,Bat,88.24,308.04,187,Team_B,12,1,6,1,0,1,0,0,0,0
M0058,2/8/2026,Colombo,Ireland,Sri Lanka,Group,12,9,57.26,61.18,15,14,0,1,Spin-Friendly,160,Team_B,Field,153.56,223.21,172,Team_B,6,16,2,1,2,1,1,0,1,0
M0059,2/26/2026,Kolkata,Ireland,Bangladesh,Group,12,10,42.06,56.01,7,18,0,0,Spin-Friendly,165,Team_B,Bat,154.13,198.03,186,Team_A,6,2,5,1,2,1,0,0,0,1
M0060,3/2/2026,Kandy,England,Pakistan,Group,3,4,72.87,58.01,15,9,0,0,Pace-Friendly,162,Team_A,Field,286.63,264.12,150,Team_B,4,13,4,1,1,0,1,1,1,0
M0061,3/4/2026,Mumbai,Nepal,New Zealand,Group,19,5,28.66,84.78,1,13,0,0,Flat,175,Team_A,Bat,70.6,293.16,210,Team_B,8,10,6,1,0,0,0,1,0,0
M0062,2/17/2026,Mumbai,New Zealand,Bangladesh,Super8,5,10,73.7,73.53,14,9,0,0,Flat,175,Team_B,Bat,263.71,216.11,213,Team_A,10,2,6,3,0,1,0,0,0,1
M0063,2/23/2026,Mumbai,Nepal,Scotland,Group,19,13,34.35,62.86,4,12,0,0,Flat,175,Team_B,Field,60.5,179.62,183,Team_B,8,14,6,1,0,1,1,0,1,0
M0064,3/4/2026,Chennai,Oman,Ireland,Group,16,12,52.0,36.29,5,4,0,0,Spin-Friendly,155,Team_B,Field,133.03,135.25,125,Team_A,11,6,1,1,2,1,1,0,1,1
M0065,2/14/2026,Kandy,Scotland,Canada,Group,13,18,59.84,45.67,17,10,0,0,Pace-Friendly,162,Team_B,Field,174.02,85.74,159,Team_A,14,3,4,1,1,1,1,0,1,1
M0066,2/19/2026,Kandy,Afghanistan,Zimbabwe,Group,8,14,54.99,58.88,0,0,0,0,Pace-Friendly,162,Team_B,Field,204.49,160.52,159,Team_A,0,19,4,1,1,1,1,0,1,1
M0067,2/15/2026,Colombo,Zimbabwe,England,Group,14,3,48.7,68.07,2,16,0,0,Spin-Friendly,160,Team_B,Field,126.82,272.54,111,Team_B,19,4,2,1,2,1,1,0,1,0
M0068,2/22/2026,Kolkata,South Africa,Bangladesh,Group,6,10,68.98,62.42,0,0,0,0,Spin-Friendly,165,Team_B,Field,235.38,203.73,151,Team_A,15,2,5,1,2,1,1,0,1,1
M0069,2/21/2026,Kandy,West Indies,Bangladesh,Group,7,10,74.14,69.58,19,10,0,0,Pace-Friendly,162,Team_B,Field,241.36,194.55,184,Team_A,18,2,4,1,1,1,1,0,1,1
M0070,2/16/2026,Ahmedabad,South Africa,USA,Super8,6,17,63.73,26.08,11,4,0,0,Flat,180,Team_A,Bat,251.55,90.97,243,Team_A,15,17,0,3,0,0,0,1,0,1
M0071,2/18/2026,Chennai,India,Oman,SemiFinal,1,16,78.72,40.44,18,3,1,0,Spin-Friendly,155,Team_B,Field,306.24,101.21,143,Team_A,5,11,1,2,2,1,1,0,1,1
M0072,2/10/2026,Colombo,USA,Namibia,Super8,17,15,37.39,45.46,11,15,0,0,Spin-Friendly,160,Team_B,Field,107.68,131.31,178,Team_B,17,7,2,3,2,1,1,0,1,0
M0073,2/18/2026,Colombo,Namibia,Nepal,Super8,15,19,52.77,35.39,3,3,0,0,Spin-Friendly,160,Team_B,Field,128.05,88.04,135,Team_A,7,8,2,3,2,1,1,0,1,1
M0074,2/18/2026,Colombo,Australia,Zimbabwe,Super8,2,14,91.96,40.9,13,4,0,0,Spin-Friendly,160,Team_B,Bat,294.77,135.01,141,Team_A,1,19,2,3,2,1,0,0,0,1
M0075,3/5/2026,Kandy,Oman,Scotland,Group,16,13,44.08,47.36,4,10,0,0,Pace-Friendly,162,Team_A,Field,96.05,158.04,165,Team_B,11,14,4,1,1,0,1,1,1,0
M0076,2/8/2026,Ahmedabad,Scotland,Bangladesh,Group,13,10,58.37,64.74,9,16,0,0,Flat,180,Team_B,Bat,167.58,191.72,200,Team_A,14,2,0,1,0,1,0,0,0,1
M0077,3/5/2026,Ahmedabad,Sri Lanka,Australia,Group,9,2,47.31,83.43,9,15,0,0,Flat,180,Team_A,Bat,186.79,299.42,140,Team_B,16,1,0,1,0,0,0,1,0,0
M0078,2/11/2026,Kandy,Australia,Namibia,Group,2,15,73.41,48.93,20,5,0,0,Pace-Friendly,162,Team_A,Bat,302.52,118.84,145,Team_A,1,7,4,1,1,0,0,1,0,1
M0079,2/15/2026,Delhi,PNG,Bangladesh,Group,20,10,35.48,62.47,5,20,0,0,Pace-Friendly,170,Team_A,Bat,61.47,203.36,203,Team_B,12,2,3,1,1,0,0,1,0,0
M0080,3/4/2026,Mumbai,Bangladesh,Namibia,Group,10,15,54.77,76.34,16,9,0,0,Flat,175,Team_A,Bat,194.18,157.91,174,Team_A,2,7,6,1,0,0,0,1,0,1
M0081,3/2/2026,Kolkata,India,Bangladesh,Group,1,10,80.87,60.44,9,4,1,0,Spin-Friendly,165,Team_A,Field,313.91,200.95,160,Team_A,5,2,5,1,2,0,1,1,1,1
M0082,2/25/2026,Delhi,Ireland,Australia,Group,12,2,54.82,74.81,1,2,0,0,Pace-Friendly,170,Team_B,Field,172.73,315.41,174,Team_B,6,1,3,1,1,1,1,0,1,0
M0083,3/8/2026,Kandy,England,Netherlands,Group,3,11,88.01,55.92,19,8,0,0,Pace-Friendly,162,Team_B,Field,295.4,164.08,159,Team_A,4,9,4,1,1,1,1,0,1,1
M0084,3/6/2026,Chennai,Canada,PNG,Super8,18,20,30.2,42.16,4,8,0,0,Spin-Friendly,155,Team_B,Field,83.23,50.47,163,Team_A,3,12,1,3,2,1,1,0,1,1
M0085,3/7/2026,Ahmedabad,Zimbabwe,Sri Lanka,Super8,14,9,39.21,75.44,0,2,0,0,Flat,180,Team_B,Bat,137.29,229.42,199,Team_A,19,16,0,3,0,1,0,0,0,1
M0086,2/25/2026,Colombo,India,Pakistan,Group,1,4,75.13,78.04,11,6,0,0,Spin-Friendly,160,Team_B,Bat,315.77,269.99,150,Team_A,5,13,2,1,2,1,0,0,0,1
M0087,2/26/2026,Delhi,Scotland,Zimbabwe,Group,13,14,60.79,57.34,8,5,0,0,Pace-Friendly,170,Team_A,Field,176.29,147.78,154,Team_A,14,19,3,1,1,0,1,1,1,1
M0088,2/24/2026,Kandy,Zimbabwe,West Indies,Group,14,7,63.64,77.74,8,15,0,0,Pace-Friendly,162,Team_A,Bat,160.95,264.35,136,Team_B,19,18,4,1,1,0,0,1,0,0
M0089,2/21/2026,Kandy,Australia,Oman,Group,2,16,60.21,64.96,10,2,0,0,Pace-Friendly,162,Team_B,Field,285.66,158.11,160,Team_A,1,11,4,1,1,1,1,0,1,1
M0090,2/18/2026,Mumbai,England,PNG,Group,3,20,93.82,47.9,26,4,0,0,Flat,175,Team_A,Field,300.3,82.47,221,Team_A,4,12,6,1,0,0,1,1,1,1
M0091,2/9/2026,Ahmedabad,Oman,Nepal,Group,16,19,65.93,38.89,5,8,0,0,Flat,180,Team_A,Field,137.21,85.14,219,Team_A,11,8,0,1,0,0,1,1,1,1
M0092,2/25/2026,Ahmedabad,Netherlands,Scotland,Group,11,13,54.12,54.67,18,12,0,0,Flat,180,Team_B,Field,172.02,146.63,191,Team_A,9,14,0,1,0,1,1,0,1,1
M0093,2/20/2026,Kandy,PNG,Afghanistan,Group,20,8,29.1,53.05,7,20,0,0,Pace-Friendly,162,Team_A,Field,47.88,200.96,145,Team_B,12,0,4,1,1,0,1,1,1,0
M0094,2/23/2026,Delhi,South Africa,Canada,Group,6,18,69.93,32.81,5,1,0,0,Pace-Friendly,170,Team_A,Field,251.29,89.98,212,Team_A,15,3,3,1,1,0,1,1,1,1
M0095,2/24/2026,Kandy,Pakistan,Sri Lanka,Group,4,9,71.31,52.93,9,2,0,1,Pace-Friendly,162,Team_A,Field,273.32,198.2,156,Team_A,13,16,4,1,1,0,1,1,1,1
M0096,2/24/2026,Kandy,Netherlands,Australia,Group,11,2,52.17,84.74,9,15,0,0,Pace-Friendly,162,Team_A,Field,173.59,304.37,151,Team_B,9,1,4,1,1,0,1,1,1,0
M0097,2/12/2026,Ahmedabad,Afghanistan,England,Group,8,3,58.87,77.06,4,4,0,0,Flat,180,Team_B,Field,219.98,268.59,132,Team_B,0,4,0,1,0,1,1,0,1,0
M0098,2/25/2026,Kolkata,England,Namibia,Super8,3,15,64.22,54.04,18,3,0,0,Spin-Friendly,165,Team_B,Bat,258.96,126.61,181,Team_A,4,7,5,3,2,1,0,0,0,1
M0099,3/2/2026,Ahmedabad,USA,Australia,Group,17,2,57.36,90.72,0,16,0,0,Flat,180,Team_A,Bat,114.12,308.89,184,Team_B,17,1,0,1,0,0,0,1,0,0
M0100,3/2/2026,Mumbai,India,Afghanistan,Group,1,8,85.0,55.47,8,2,1,0,Flat,175,Team_A,Field,314.28,202.47,191,Team_A,5,0,6,1,0,0,1,1,1,1
M0101,2/28/2026,Ahmedabad,West Indies,Australia,Super8,7,2,64.39,89.59,1,1,0,0,Flat,180,Team_B,Bat,230.73,306.09,197,Team_B,18,1,0,3,0,1,0,0,0,0
M0102,2/15/2026,Chennai,Oman,Namibia,Group,16,15,37.58,43.84,2,4,0,0,Spin-Friendly,155,Team_A,Bat,93.13,127.49,169,Team_A,11,7,1,1,2,0,0,1,0,1
M0103,2/22/2026,Delhi,Nepal,India,Group,19,1,23.18,95.0,0,16,0,1,Pace-Friendly,170,Team_B,Bat,70.96,325.95,196,Team_B,8,5,3,1,1,1,0,0,0,0
M0104,2/13/2026,Ahmedabad,Canada,Netherlands,Group,18,11,67.55,66.72,2,7,0,0,Flat,180,Team_A,Field,120.52,191.25,186,Team_B,3,9,0,1,0,0,1,1,1,0
M0105,2/7/2026,Ahmedabad,New Zealand,Canada,Group,5,18,66.6,38.22,15,0,0,0,Flat,180,Team_B,Bat,245.57,94.23,222,Team_A,10,3,0,1,0,1,0,0,0,1
M0106,2/24/2026,Delhi,Ireland,India,Group,12,1,53.31,85.27,1,25,0,1,Pace-Friendly,170,Team_B,Bat,170.96,324.33,214,Team_B,6,5,3,1,1,1,0,0,0,0
M0107,2/21/2026,Ahmedabad,Sri Lanka,Scotland,Group,9,13,45.59,43.2,17,12,0,0,Flat,180,Team_A,Field,186.81,149.99,173,Team_A,16,14,0,1,0,0,1,1,1,1
M0108,2/27/2026,Colombo,Zimbabwe,Netherlands,Group,14,11,38.76,52.02,5,8,0,0,Spin-Friendly,160,Team_B,Bat,120.55,181.24,193,Team_A,19,9,2,1,2,1,0,0,0,1
M0109,2/26/2026,Kandy,New Zealand,Afghanistan,Group,5,8,76.93,67.85,7,7,0,0,Pace-Friendly,162,Team_B,Bat,273.79,205.69,156,Team_A,10,0,4,1,1,1,0,0,0,1
M0110,2/19/2026,Delhi,New Zealand,Netherlands,Super8,5,11,55.1,69.87,9,7,0,0,Pace-Friendly,170,Team_A,Bat,246.82,210.04,201,Team_A,10,9,3,3,1,0,0,1,0,1
M0111,3/3/2026,Mumbai,England,USA,Group,3,17,83.08,42.38,4,1,0,0,Flat,175,Team_A,Bat,287.18,112.21,180,Team_A,4,17,6,1,0,0,0,1,0,1
M0112,2/18/2026,Kandy,Netherlands,Sri Lanka,SemiFinal,11,9,46.81,61.74,5,6,0,1,Pace-Friendly,162,Team_A,Bat,175.85,210.62,194,Team_A,9,16,4,2,1,0,0,1,0,1
M0113,2/11/2026,Delhi,Pakistan,Nepal,Group,4,19,82.34,48.59,22,2,0,0,Pace-Friendly,170,Team_A,Bat,272.13,88.13,188,Team_A,13,8,3,1,1,0,0,1,0,1
M0114,2/25/2026,Kandy,New Zealand,Namibia,Group,5,15,76.47,49.87,14,10,0,0,Pace-Friendly,162,Team_B,Field,268.15,138.52,162,Team_A,10,7,4,1,1,1,1,0,1,1
M0115,2/17/2026,Delhi,USA,Netherlands,Group,17,11,57.38,54.84,5,22,0,0,Pace-Friendly,170,Team_B,Bat,108.54,184.85,186,Team_A,17,9,3,1,1,1,0,0,0,1
M0116,3/4/2026,Mumbai,Ireland,Scotland,Group,12,13,55.39,57.35,5,3,0,0,Flat,175,Team_A,Bat,182.57,164.12,166,Team_A,6,14,6,1,0,0,0,1,0,1
M0117,2/8/2026,Ahmedabad,Sri Lanka,Canada,Group,9,18,66.67,54.9,9,2,0,0,Flat,180,Team_B,Bat,216.38,106.87,188,Team_A,16,3,0,1,0,1,0,0,0,1
